"PT. TRANS BERJAYA KHATULISTIWA"
"LAPORAN PROFIT / LOSS (LABA RUGI)"
"Periode: 2022-01 s/d 2022-03"

Category,2022-01,2022-02,2022-03
"--- INCOME ---"
Salary,12.000.000,12.000.000,12.000.000
"Other Income",5.500.000,6.000.000,3.500.000
"Total Income",17.500.000,18.000.000,15.500.000

"--- EXPENSE ---"
"Family Expense",500.000,3.500.000,4.500.000
"Transport Expense",200.000,250.000,225.000
"Meal Expense",150.000,300.000,175.000
"Total Expense",850.000,4.050.000,4.900.000

"Net Income",16.650.000,13.950.000,10.600.000
